cycle_len	cycle_head	parent	child	wd_parent	wd_child	verdict	detail
8	Q73599	Q73910 (Gaius Servilius)	Q73812 (Gaius Servilius)			unknown	no Wikidata ID for Gaius Servilius and Gaius Servilius
8	Q73599	Q73812 (Gaius Servilius)	Q73710 (Servilius)			unknown	no Wikidata ID for Gaius Servilius and Servilius
8	Q73599	Q73710 (Servilius)	Q73599 (Gnaeus Servilius)			unknown	no Wikidata ID for Servilius and Gnaeus Servilius
4	Q161658	Q161658 (Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja)	Q161777 (Dewa Amas Sang Aji Kala)			unknown	no Wikidata ID for Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja and Dewa Amas Sang Aji Kala
4	Q161658	Q161777 (Dewa Amas Sang Aji Kala)	Q161966 (Demang Lebar Daun Mangkabumi (Bendahara I))			unknown	no Wikidata ID for Dewa Amas Sang Aji Kala and Demang Lebar Daun Mangkabumi (Bendahara I)
4	Q161658	Q161966 (Demang Lebar Daun Mangkabumi (Bendahara I))	Q162275 (Wan Sendari (Radin Ratna Cenderapuri))			unknown	no Wikidata ID for Demang Lebar Daun Mangkabumi (Bendahara I) and Wan Sendari (Radin Ratna Cenderapuri)
4	Q161658	Q162275 (Wan Sendari (Radin Ratna Cenderapuri))	Q161658 (Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja)			unknown	no Wikidata ID for Wan Sendari (Radin Ratna Cenderapuri) and Maharaja Parameswara @ Raja Iskandar Shah Paduka Sri Ratna Vira Vikrama di-Raja
2	Q18066	Q18066 (Nagano Norinari)	Q32705 (長野尚業)	Q11654206	Q106814279	inherited	Wikidata itself has Nagano Norinari (Q11654206) as BOTH parent and child of 長野尚業 (Q106814279) — the contradiction is upstream
2	Q18066	Q32705 (長野尚業)	Q18066 (Nagano Norinari)	Q106814279	Q11654206	inherited	Wikidata itself has 長野尚業 (Q106814279) as BOTH parent and child of Nagano Norinari (Q11654206) — the contradiction is upstream
5	Q73970	Q73970 (Appius Claudius Crassus Inregillensis)	Q73887 (Gaius Claudius Crassus Inrelligensis)	Q657609	Q5759141	confirmed	Wikidata agrees Appius Claudius Crassus Inregillensis is a parent of Gaius Claudius Crassus Inrelligensis
5	Q73970	Q73887 (Gaius Claudius Crassus Inrelligensis)	Q73782 (Appius Claudius Caecus)	Q5759141	Q297783	confirmed	Wikidata agrees Gaius Claudius Crassus Inrelligensis is a parent of Appius Claudius Caecus
5	Q73970	Q73782 (Appius Claudius Caecus)	Q78812 (Tiberius Claudius Nero)	Q297783		unknown	no Wikidata ID for Tiberius Claudius Nero
5	Q73970	Q78812 (Tiberius Claudius Nero)	Q78752 (Publius Claudius-Nero)			unknown	no Wikidata ID for Tiberius Claudius Nero and Publius Claudius-Nero
5	Q73970	Q78752 (Publius Claudius-Nero)	Q73970 (Appius Claudius Crassus Inregillensis)		Q657609	unknown	no Wikidata ID for Publius Claudius-Nero
4	Q160928	Q160928 (Swammbhu Brambha)	Q160981 (Person Q160981)			unknown	no Wikidata ID for Swammbhu Brambha and Person Q160981
4	Q160928	Q160981 (Person Q160981)	Q160965 (Kasayap Muni)			unknown	no Wikidata ID for Person Q160981 and Kasayap Muni
4	Q160928	Q160965 (Kasayap Muni)	Q160946 (11 Rudras)			unknown	no Wikidata ID for Kasayap Muni and 11 Rudras
4	Q160928	Q160946 (11 Rudras)	Q160928 (Swammbhu Brambha)			unknown	no Wikidata ID for 11 Rudras and Swammbhu Brambha
2	Q78501	Q78501 (Marcus Valerius)	Q78615 (Manius Valerius)			unknown	no Wikidata ID for Marcus Valerius and Manius Valerius
2	Q78501	Q78615 (Manius Valerius)	Q78501 (Marcus Valerius)			unknown	no Wikidata ID for Manius Valerius and Marcus Valerius
3	Q73824	Q73824 (Agathocles of Pella)	Q135467 (Alcimachus of Apollonia)	Q4691548	Q24254	confirmed	Wikidata agrees Agathocles of Pella is a parent of Alcimachus of Apollonia
3	Q73824	Q135467 (Alcimachus of Apollonia)	Q73925 (Alcimachus)	Q24254	Q4713126	confirmed	Wikidata agrees Alcimachus of Apollonia is a parent of Alcimachus
3	Q73824	Q73925 (Alcimachus)	Q73824 (Agathocles of Pella)	Q4713126	Q4691548	contradicted	Wikidata records no link between them
